kitsu_id,slug,status,title_canonical,title_en,title_ja,title_norm_canonical,title_norm_en,title_norm_ja,synopsis_clean,rating_average_10,rating_rank,popularity_rank,categories_json,genres_json,authors_json
26004,boku-no-hero-academia,finished,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,boku no hero academia,my hero academia,,"What would the world be like if 80 percent of the population manifested superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless? Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny… (Source: Viz Media) Note: - Winner of the 1st Next Manga Award in the Print Category in 2015. - Nominated for the 8th Manga Taisho Award in 2015. - Nominated for the 40th Kodansha Manga Award in the Shounen Category in 2016. - Chapter count includes a bonus chapter included in volume 10 “Tsuyu-chan no Kerokero Nikki“.",8.467,8,1,"[""Comedy"", ""Super Power"", ""School Life"", ""Action"", ""Superhero"", ""Shounen"", ""Science Fiction""]","[""Comedy"", ""Super Power"", ""School"", ""Action""]","[{""name"": ""Kouhei Horikoshi"", ""role"": ""Scénario & Dessin""}]"
7176,tokyo-ghoul-m,finished,Tokyo Ghoul,Tokyo Ghoul,東京喰種トーキョーグール,tokyo ghoul,tokyo ghoul,,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own. (Source: Viz Media) Note: Includes 1 extra chapter.",8.416,22,2,"[""Horror"", ""Drama"", ""Action"", ""Psychological"", ""Mystery"", ""Supernatural"", ""Seinen""]","[""Mystery"", ""Supernatural"", ""Psychological"", ""Thriller"", ""Horror"", ""Drama"", ""Action""]","[{""name"": ""Sui Ishida"", ""role"": ""Scénario & Dessin""}]"
38,one-piece,current,One Piece,One Piece,ONE PIECE,one piece,one piece,one piece,"Gol D. Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece. (Source: MAL Rewrite)",8.504999999999999,2,3,"[""Comedy"", ""Super Power"", ""Fantasy"", ""Action"", ""Friendship"", ""Adventure"", ""Shounen"", ""Pirate"", ""Drama""]","[""Comedy"", ""Sports"", ""Super Power"", ""Fantasy"", ""Action"", ""Friendship"", ""Adventure""]","[{""name"": ""Eiichiro Oda"", ""role"": ""Scénario & Dessin""}]"
14916,shingeki-no-kyojin,finished,Attack on Titan,Attack on Titan,進撃の巨人,attack on titan,attack on titan,,"A century ago, the grotesque giants known as Titans appeared and consumed all but a few thousand humans. The survivors took refuge behind giant walls. Today, the threat of the Titans is a distant memory, and a boy named Eren yearns to explore the world beyond Wall Maria. But what began as a childish dream will become an all-too-real nightmare when the Titans return and humanity is once again on the brink of extinction … Attack on Titan is the award-winning and New York Times-bestselling series that is the manga hit of the decade! Spawning the monster hit anime TV series of the same name, Attack on Titan has become a pop culture sensation. (Source: Kodansha Comics) Volume 3 contains the special story ""Rivai Heishichou"" (リヴァイ兵士長, Captain Levi). Volume 5 contains the side story ""Ilse no Techou"" (イルゼの手帳, Ilse's Notebook).",8.415000000000001,25,4,"[""Super Power"", ""Horror"", ""Drama"", ""Action"", ""Fantasy"", ""Mystery"", ""Shounen""]","[""Mystery"", ""Supernatural"", ""Super Power"", ""Fantasy"", ""Horror"", ""Drama"", ""Action""]","[{""name"": ""Hajime Isayama"", ""role"": ""Scénario & Dessin""}]"
24147,one-punch-man,current,One Punch-Man,One-Punch Man,ワンパンマン,one punch man,one punch man,,"Everything about a young man named Saitama screams ""AVERAGE,” from his lifeless expression, to his bald head, to his unimpressive physique. However, this average-looking fellow doesn't have your average problem... He's actually a superhero that's looking for tough opponents! The problem is, every time he finds a promising candidate he beats the snot out of them in one punch. Can Saitama finally find an evil villain strong enough to challenge him? Follow Saitama through his hilarious romps as he searches for new bad guys to challenge! (Source: Viz)",8.464,10,5,"[""Comedy"", ""Science Fiction"", ""Super Power"", ""Parody"", ""Action"", ""Violence"", ""Superhero"", ""Cyborg"", ""Alien"", ""Seinen"", ""Supernatural""]","[""Comedy"", ""Sci-Fi"", ""Supernatural"", ""Super Power"", ""Parody"", ""Action""]","[{""name"": ""Yusuke Murata"", ""role"": ""Dessin""}, {""name"": ""ONE"", ""role"": ""Scénario""}]"
57,death-note,finished,Death Note,Death Note,DEATH NOTE,death note,death note,death note,"Light Yagami is a brilliant 17-year-old student, one of the top scorers on his exams in all of Japan. One day as he leaves school, he finds a mysterious black notebook on the ground with ""Death Note"" written on it. The first thing written inside: ""The human whose name is written in the notebook shall die."" Light decides to use this to cleanse the world of evil by killing all the criminals. On the scene comes L, ace detective, who's determined to find Light—who the world now calls ""Kira""—and track him down, thus bringing us an epic psychological thrill ride.",8.440999999999999,14,6,"[""Drama"", ""Psychological"", ""Mystery"", ""Supernatural"", ""Shounen"", ""Thriller""]","[""Mystery"", ""Supernatural"", ""Psychological"", ""Drama""]","[{""name"": ""Takeshi Obata"", ""role"": ""Dessin""}, {""name"": ""Tsugumi Ohba"", ""role"": ""Scénario""}]"
37280,kimetsu-no-yaiba,finished,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,kimetsu no yaiba,demon slayer kimetsu no yaiba,,"Since ancient times, rumors have abounded of man-eating demons lurking in the woods. Because of this, the local townsfolk never venture outside at night. Legend has it that a demon slayer also roams the night, hunting down these bloodthirsty demons. For young Tanjirou, these rumors will soon to become his harsh reality... Ever since the death of his father, Tanjirou has taken it upon himself to support his family. Although their lives may be hardened by tragedy, they've found happiness. But that ephemeral warmth is shattered one day when Tanjirou finds his family slaughtered and the lone survivor, his sister Nezuko, turned into a demon. To his surprise, however, Nezuko still shows signs of human emotion and thought... Thus begins Tanjirou's quest to fight demons and turn his sister human again. (Source: VIZ Media) Volume 7 contains a bonus chapter about Kanao Tsuyuri. Volume 10 contains a bonus chapter about Inosuke Hashibira.",8.459999999999999,12,7,"[""Fantasy"", ""Historical"", ""Demon"", ""Action"", ""Adventure"", ""Shounen"", ""Japan""]","[""Supernatural"", ""Historical"", ""Demons"", ""Action""]","[{""name"": ""Koyoharu Gotouge"", ""role"": ""Scénario & Dessin""}]"
19682,ansatsu-kyoushitsu,finished,Ansatsu Kyoushitsu,Assassination Classroom,暗殺教室,ansatsu kyoushitsu,assassination classroom,,"The students of class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?",8.419,21,8,"[""Comedy"", ""Science Fiction"", ""Fantasy"", ""School Life"", ""Action"", ""Psychological""]","[""Comedy"", ""Sci-Fi"", ""Supernatural"", ""Psychological"", ""School"", ""Action""]","[{""name"": ""Yuusei Matsui"", ""role"": ""Scénario & Dessin""}]"
16554,koe-no-katachi-manga,finished,Koe no Katachi,A Silent Voice,聲の形,koe no katachi,a silent voice,,"Shoya is a bully. When Shoko, a girl who can't hear, enters his elementary school class, she becomes their favorite target, and Shoya and his friends goad each other into devising new tortures for her. But the children's cruelty goes too far. Shoko is forced to leave the school, and Shoya ends up shouldering all the blame. Six years later, the two meet again. Can Shoya make up for his past mistakes, or is it too late? (Source: Kodansha Comics)",8.436,17,9,"[""School Life"", ""Drama"", ""Romance"", ""Coming Of Age"", ""Japan"", ""Present"", ""Friendship""]","[""School"", ""Drama"", ""Romance""]","[{""name"": ""Yoshitoki Ooima"", ""role"": ""Scénario & Dessin""}]"
26401,tokyo-ghoul-re,finished,Tokyo Ghoul:re,Tokyo Ghoul:re,東京喰種-トーキョーグール-:re,tokyo ghoul re,tokyo ghoul re,re,"The Commission of Counter Ghoul is the only organization fighting the Ghoul menace, and they will use every tool at their disposal to protect humanity from its ultimate predator. Their newest weapon in this hidden war is an experimental procedure that implants human investigators with a Ghoul's Kagune, giving them Ghoul powers and abilities. But both the procedure and the newly formed Qs Squad are untested. Will they become heroes… or monsters? (Source: Viz Media)",8.353,41,10,"[""Horror"", ""Drama"", ""Action"", ""Psychological"", ""Mystery"", ""Supernatural"", ""Seinen""]","[""Mystery"", ""Supernatural"", ""Psychological"", ""Horror"", ""Drama"", ""Action""]","[{""name"": ""Sui Ishida"", ""role"": ""Scénario & Dessin""}]"
